date,time,open,high,low,close,volume
09/04/2013,14:24:13.836,1640.25,1653.0,1653.0,1653.0,51.0
09/04/2013,14:24:13.836,1640.25,1653.0,1653.0,1653.0,50.0
09/04/2013,14:24:13.857,1640.25,1653.0,1653.0,1653.0,66.0
09/04/2013,14:24:13.857,1640.25,1653.0,1653.0,1653.0,50.0
09/04/2013,14:24:13.857,1640.25,1653.0,1653.0,1653.0,50.0
09/04/2013,14:24:13.912,1640.25,1653.0,1652.75,1652.75,54.0
09/04/2013,14:24:14.037,1640.25,1652.75,1652.75,1652.75,50.0
09/04/2013,14:24:14.647,1640.25,1652.75,1652.75,1652.75,51.0
09/04/2013,14:24:14.845,1640.25,1652.75,1652.75,1652.75,50.0
09/04/2013,14:24:14.951,1640.25,1652.75,1652.75,1652.75,96.0
09/04/2013,14:24:14.951,1640.25,1652.75,1652.75,1652.75,50.0
09/04/2013,14:24:14.951,1640.25,1652.75,1652.75,1652.75,55.0
09/04/2013,14:24:14.951,1640.25,1652.75,1652.75,1652.75,55.0
09/04/2013,14:24:14.951,1640.25,1652.75,1652.75,1652.75,51.0
09/04/2013,14:24:14.951,1640.25,1652.75,1652.5,1652.5,51.0
09/04/2013,14:24:15.296,1640.25,1652.75,1652.5,1652.5,56.0
09/04/2013,14:24:15.320,1640.25,1652.5,1652.5,1652.5,51.0
09/04/2013,14:24:15.872,1640.25,1652.75,1652.5,1652.75,51.0
09/04/2013,14:24:16.414,1640.25,1652.5,1652.5,1652.5,51.0
09/04/2013,14:24:16.414,1640.25,1652.5,1652.5,1652.5,50.0
09/04/2013,14:24:16.414,1640.25,1652.5,1652.5,1652.5,50.0
09/04/2013,14:24:16.419,1640.25,1652.5,1652.25,1652.25,51.0
09/04/2013,14:24:16.702,1640.25,1652.25,1652.25,1652.25,53.0
09/04/2013,14:24:16.912,1640.25,1652.25,1652.25,1652.25,54.0
09/04/2013,14:24:17.906,1640.25,1652.5,1652.25,1652.25,51.0
09/04/2013,14:24:18.717,1640.25,1652.5,1652.25,1652.25,50.0
09/04/2013,14:24:19.048,1640.25,1652.5,1652.25,1652.25,51.0
09/04/2013,14:24:19.319,1640.25,1652.5,1652.25,1652.25,57.0
09/04/2013,14:24:19.351,1640.25,1652.25,1652.25,1652.25,51.0
09/04/2013,14:24:19.351,1640.25,1652.25,1652.25,1652.25,57.0
09/04/2013,14:24:19.351,1640.25,1652.25,1652.25,1652.25,50.0
09/04/2013,14:24:19.356,1640.25,1652.25,1652.25,1652.25,57.0
09/04/2013,14:24:19.361,1640.25,1652.25,1652.0,1652.25,53.0
09/04/2013,14:24:19.361,1640.25,1652.25,1652.25,1652.25,50.0
09/04/2013,14:24:19.361,1640.25,1652.25,1652.25,1652.25,90.0
09/04/2013,14:24:19.367,1640.25,1652.25,1652.25,1652.25,50.0
09/04/2013,14:24:20.233,1640.25,1652.25,1652.0,1652.0,50.0
09/04/2013,14:24:20.626,1640.25,1652.0,1652.0,1652.0,53.0
09/04/2013,14:24:20.626,1640.25,1652.0,1652.0,1652.0,56.0
09/04/2013,14:24:20.793,1640.25,1652.0,1652.0,1652.0,51.0
09/04/2013,14:24:20.799,1640.25,1652.0,1652.0,1652.0,94.0
09/04/2013,14:24:20.799,1640.25,1652.0,1652.0,1652.0,54.0
09/04/2013,14:24:20.799,1640.25,1652.0,1652.0,1652.0,125.0
09/04/2013,14:24:20.799,1640.25,1652.0,1652.0,1652.0,85.0
09/04/2013,14:24:20.799,1640.25,1652.0,1652.0,1652.0,50.0
09/04/2013,14:24:20.799,1640.25,1652.0,1652.0,1652.0,53.0
09/04/2013,14:24:20.801,1640.25,1652.0,1651.75,1652.0,51.0
09/04/2013,14:24:20.831,1640.25,1652.0,1652.0,1652.0,50.0
09/04/2013,14:24:20.831,1640.25,1652.0,1652.0,1652.0,64.0
09/04/2013,14:24:20.835,1640.25,1652.0,1652.0,1652.0,50.0
09/04/2013,14:24:20.857,1640.25,1652.0,1652.0,1652.0,50.0
09/04/2013,14:24:20.934,1640.25,1652.0,1652.0,1652.0,52.0
09/04/2013,14:24:20.963,1640.25,1652.0,1652.0,1652.0,53.0
09/04/2013,14:24:21.225,1640.25,1652.0,1651.75,1651.75,51.0
09/04/2013,14:24:21.225,1640.25,1652.0,1651.75,1651.75,54.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,51.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,51.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,50.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,53.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,60.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,51.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,51.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,50.0
09/04/2013,14:24:21.225,1640.25,1651.75,1651.75,1651.75,50.0
09/04/2013,14:24:21.230,1640.25,1651.75,1651.75,1651.75,54.0
09/04/2013,14:24:21.230,1640.25,1651.75,1651.75,1651.75,100.0
09/04/2013,14:24:21.230,1640.25,1651.75,1651.75,1651.75,53.0
09/04/2013,14:24:21.230,1640.25,1651.75,1651.75,1651.75,54.0
09/04/2013,14:24:21.230,1640.25,1651.75,1651.75,1651.75,54.0
09/04/2013,14:24:21.753,1640.25,1651.75,1651.5,1651.5,53.0
09/04/2013,14:24:21.897,1640.25,1651.75,1651.5,1651.5,53.0
09/04/2013,14:24:21.897,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:22.025,1640.25,1651.75,1651.5,1651.75,57.0
09/04/2013,14:24:22.102,1640.25,1651.75,1651.5,1651.5,51.0
09/04/2013,14:24:22.102,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:22.102,1640.25,1651.5,1651.5,1651.5,100.0
09/04/2013,14:24:22.102,1640.25,1651.5,1651.5,1651.5,52.0
09/04/2013,14:24:22.102,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:22.102,1640.25,1651.5,1651.5,1651.5,64.0
09/04/2013,14:24:22.102,1640.25,1651.5,1651.5,1651.5,51.0
09/04/2013,14:24:22.303,1640.25,1651.75,1651.5,1651.5,52.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.5,1651.5,67.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.5,1651.5,61.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.5,1651.5,73.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.5,1651.5,53.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.5,1651.5,50.0
09/04/2013,14:24:22.330,1640.25,1651.5,1651.25,1651.25,50.0
09/04/2013,14:24:22.491,1640.25,1651.5,1651.25,1651.25,52.0
09/04/2013,14:24:22.711,1640.25,1651.5,1651.25,1651.25,60.0
09/04/2013,14:24:22.711,1640.25,1651.25,1651.25,1651.25,79.0
09/04/2013,14:24:22.711,1640.25,1651.25,1651.25,1651.25,59.0
09/04/2013,14:24:22.711,1640.25,1651.25,1651.25,1651.25,86.0
09/04/2013,14:24:22.711,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:22.711,1640.25,1651.25,1651.25,1651.25,50.0
09/04/2013,14:24:22.711,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:22.711,1640.25,1651.25,1651.25,1651.25,66.0
09/04/2013,14:24:22.717,1640.25,1651.25,1651.25,1651.25,61.0
09/04/2013,14:24:22.717,1640.25,1651.25,1651.0,1651.0,50.0
09/04/2013,14:24:22.722,1640.25,1651.25,1651.0,1651.25,61.0
09/04/2013,14:24:22.722,1640.25,1651.25,1651.25,1651.25,63.0
09/04/2013,14:24:22.722,1640.25,1651.25,1651.25,1651.25,67.0
09/04/2013,14:24:22.782,1640.25,1651.5,1651.25,1651.25,53.0
09/04/2013,14:24:22.787,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:22.836,1640.25,1651.25,1651.25,1651.25,50.0
09/04/2013,14:24:22.987,1640.25,1651.25,1651.0,1651.25,81.0
09/04/2013,14:24:22.987,1640.25,1651.25,1651.25,1651.25,97.0
09/04/2013,14:24:23.070,1640.25,1651.25,1651.25,1651.25,55.0
09/04/2013,14:24:23.074,1640.25,1651.25,1651.25,1651.25,51.0
09/04/2013,14:24:23.182,1640.25,1651.25,1651.25,1651.25,68.0
09/04/2013,14:24:23.182,1640.25,1651.25,1651.0,1651.0,50.0
09/04/2013,14:24:23.348,1640.25,1651.25,1651.0,1651.25,54.0
09/04/2013,14:24:23.410,1640.25,1651.0,1651.0,1651.0,51.0
09/04/2013,14:24:23.423,1640.25,1651.0,1651.0,1651.0,50.0
09/04/2013,14:24:23.526,1640.25,1651.25,1651.0,1651.0,60.0
09/04/2013,14:24:23.526,1640.25,1651.0,1651.0,1651.0,54.0
09/04/2013,14:24:23.757,1640.25,1651.25,1651.0,1651.0,53.0
09/04/2013,14:24:23.757,1640.25,1651.0,1651.0,1651.0,54.0
